Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Aruba,Import,"Shrimps and prawns, other than coldwater, not frozen",0,.,0,.,0,.,0,.,69,.,89,.,42,.
Aruba,Import,"Shrimps and prawns, prep. or pres., in airtight containers",0,.,0,.,0,.,0,.,9,.,1,.,5,.
Aruba,Import,"Shrimps and prawns, prep. or pres., not in airtight containers",0,.,0,.,0,.,0,.,2,.,2,.,1,.
Aruba,Import,"Shrimps, prawns, prepared or preserved, nei",20,.,18,.,25,.,30,.,3,.,0,-,0,-
Aruba,Import,"Sockeye salmon (red salmon)(Oncorhynchus nerka), frozen",21,.,22,.,22,.,19,.,4,.,0,0,0,0
Aruba,Import,"Soles, frozen, nei",0,.,0,.,0,0,0,-,0,-,0,0,1,.
Aruba,Import,"Swordfish fillets, fresh or chilled",0,0,0,0,0,.,2,.,1,.,2,.,1,.
Aruba,Import,"Swordfish fillets, frozen",1,.,1,.,1,.,1,.,0,0,0,-,0,-
Aruba,Import,"Tilapia fillets, fresh or chilled",0,.,0,.,0,.,0,.,13,.,0,0,0,0
Aruba,Import,"Tilapia, catfish, carp, eel, Nile perch and snakeheads, fillets, dried/salted/brine, not smoked",0,.,0,.,0,.,0,.,2,.,0,-,2,.
Aruba,Import,"Tilapias, catfish, carp, eels, Nile perch and snakeheads  meat, frozen",0,.,0,.,0,.,0,.,7,.,1,.,1,.
Aruba,Import,"Tilapias, frozen",0,.,0,.,0,.,0,.,1,.,2,.,25,.
Aruba,Import,"Toothfish (Dissostichus spp.), fillets, fresh or chilled",0,0,0,.,0,.,0,.,2,.,3,.,3,.
Aruba,Import,"Toothfish (Dissostichus spp.), fillets, frozen",2,.,1,.,2,.,2,.,0,0,0,-,0,-
Aruba,Import,"Toothfish (Dissostichus spp.), frozen",0,.,1,.,0,.,0,.,0,0,0,-,0,-
Aruba,Import,"Trout fillets, fresh and chilled",0,.,0,.,0,.,0,.,0,.,1,.,0,-
Aruba,Import,"Trouts and chars, fresh or chilled",1,.,3,.,0,-,1,.,2,.,2,.,2,.
Aruba,Import,"Tuna loins and fillets, frozen",0,.,0,.,0,.,0,.,1,.,0,0,0,0
Aruba,Import,"Tunas nei, frozen",15,.,12,.,9,.,2,.,3,.,6,.,6,.
Aruba,Import,"Tunas prepared or preserved, not minced, nei",152,.,166,.,227,.,168,.,115,.,108,.,132,.
Aruba,Import,"Tunas, fresh or chilled, nei",19,.,0,-,4,.,0,-,23,.,30,.,35,.
Bahamas,Export,"American/European lobsters (Homarus spp.), nei, fresh or chilled",13,.,0,-,0,-,0,-,0,-,0,-,0,-
Bahamas,Export,"American/European lobsters (Homarus spp.), nei, frozen",4,.,0,-,0,-,0,-,0,-,0,-,0,-
Bahamas,Export,"Bigeye tuna, frozen, nei",0,.,0,.,0,.,0,.,0,.,0,.,36,F
Bahamas,Export,Coral and the like,0,.,0,.,0,.,0,.,0,.,0,.,92,F
